LU1662495628;AQR APEX UCITS "IT" (EURHDG) ACC;AQSIAEF LX Equity
LU2805325680;AQR ADAPTIVE EQUITY MARKET NEUTRAL UCITS "RAE" (EUR) ACC;AQAMRNR LX Equity
LU2574374778;AQR ALTERNATIVE TRENDS UCITS FUND "RAE" (EUR) ACC;AQRATNR LX Equity
LU1662506093;AQR STYLE PREMIA UCITS "RAE" (EURHDG) ACC;AQPRAET LX Equity
LU1662502183;AQR MANAGED FUTURES UCITS "R" (EURHDG) ACC;AQFRAEA LX Equity
LU2915436930;AQR Delphi Long-Short (EURHDG);AQRSDIE LX Equity	
IE00BK5BQT80;Vanguard FTSE All World, VWCE GY Equity
				
